regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
2,2031,203133,2,231,23133,SAN PABLO,Mun,,,2nd,ims,0,,A
2,2031,203134,2,231,23134,SANTA MARIA,Mun,,,4th,ims,0,,A
2,2031,203135,2,231,23135,CITY OF SANTIAGO,City,,ICC,1st,ims,0,,A
2,2031,203136,2,231,23136,SANTO TOMAS,Mun,,,4th,ims,0,,A
2,2031,203137,2,231,23137,TUMAUINI,Mun,,,1st,ims,0,,A
2,2050,205001,2,250,25001,AMBAGUIO,Mun,,,5th,ims,0,,A
2,2050,205002,2,250,25002,ARITAO,Mun,,,2nd,ims,0,,A
2,2050,205003,2,250,25003,BAGABAG,Mun,,,2nd,ims,0,,A
2,2050,205004,2,250,25004,BAMBANG,Mun,,,1st,ims,0,,A
2,2050,205005,2,250,25005,BAYOMBONG (CAPITAL),Mun,,,1st,ims,0,,A
2,2050,205006,2,250,25006,DIADI,Mun,,,4th,ims,0,,A
2,2050,205007,2,250,25007,DUPAX DEL NORTE,Mun,,,3rd,ims,0,,A
2,2050,205008,2,250,25008,DUPAX DEL SUR,Mun,,,2nd,ims,0,,A
2,2050,205009,2,250,25009,KASIBU,Mun,,,3rd,ims,0,,A
2,2050,205010,2,250,25010,KAYAPA,Mun,,,3rd,ims,0,,A
2,2050,205011,2,250,25011,QUEZON,Mun,,,4th,ims,0,,A
2,2050,205012,2,250,25012,SANTA FE,Mun,,,3rd,ims,0,,A
2,2050,205013,2,250,25013,SOLANO,Mun,,,1st,ims,0,,A
2,2050,205014,2,250,25014,VILLAVERDE,Mun,,,5th,ims,0,,A
2,2050,205015,2,250,25015,ALFONSO CASTANEDA,Mun,,,1st,ims,0,,A
2,2057,205701,2,257,25701,AGLIPAY,Mun,,,3rd,ims,0,,A
2,2057,205702,2,257,25702,CABARROGUIS (CAPITAL),Mun,,,3rd,ims,0,,A
2,2057,205703,2,257,25703,DIFFUN,Mun,,,2nd,ims,0,,A
2,2057,205704,2,257,25704,MADDELA,Mun,,,1st,ims,0,,A
2,2057,205705,2,257,25705,SAGUDAY,Mun,,,5th,ims,0,,A
2,2057,205706,2,257,25706,NAGTIPUNAN,Mun,,,1st,ims,0,,A
3,3008,300801,3,308,30801,ABUCAY,Mun,,,3rd,ims,0,,A
3,3008,300802,3,308,30802,BAGAC,Mun,,,3rd,ims,0,,A
3,3008,300803,3,308,30803,CITY OF BALANGA (CAPITAL),City,,CC,4th,ims,0,,A
3,3008,300804,3,308,30804,DINALUPIHAN,Mun,,,1st,ims,0,,A
3,3008,300805,3,308,30805,HERMOSA,Mun,,,1st,ims,0,,A
3,3008,300806,3,308,30806,LIMAY,Mun,,,1st,ims,0,,A
3,3008,300807,3,308,30807,MARIVELES,Mun,,,1st,ims,0,,A
3,3008,300808,3,308,30808,MORONG,Mun,,,3rd,ims,0,,A
3,3008,300809,3,308,30809,ORANI,Mun,,,3rd,ims,0,,A
3,3008,300810,3,308,30810,ORION,Mun,,,2nd,ims,0,,A
3,3008,300811,3,308,30811,PILAR,Mun,,,3rd,ims,0,,A
3,3008,300812,3,308,30812,SAMAL,Mun,,,4th,ims,0,,A
3,3014,301401,3,314,31401,ANGAT,Mun,,,1st,ims,0,,A
3,3014,301402,3,314,31402,BALAGTAS,Mun,Bigaa,,1st,ims,0,,A
3,3014,301403,3,314,31403,BALIWAG,City,,,1st,ims,0,,A
3,3014,301404,3,314,31404,BOCAUE,Mun,,,1st,ims,0,,A
3,3014,301405,3,314,31405,BULACAN,Mun,,,1st,ims,0,,A
3,3014,301406,3,314,31406,BUSTOS,Mun,,,2nd,ims,0,,A
3,3014,301407,3,314,31407,CALUMPIT,Mun,,,1st,ims,0,,A
3,3014,301408,3,314,31408,GUIGUINTO,Mun,,,1st,ims,0,,A
3,3014,301409,3,314,31409,HAGONOY,Mun,,,1st,ims,0,,A
3,3014,301410,3,314,31410,CITY OF MALOLOS (CAPITAL),City,,CC,3rd,ims,0,,A
3,3014,301411,3,314,31411,MARILAO,Mun,,,1st,ims,0,,A
3,3014,301412,3,314,31412,CITY OF MEYCAUAYAN,City,,CC,3rd,ims,0,,A
3,3014,301413,3,314,31413,NORZAGARAY,Mun,,,1st,ims,0,,A
3,3014,301414,3,314,31414,OBANDO,Mun,,,2nd,ims,0,,A
3,3014,301415,3,314,31415,PANDI,Mun,,,2nd,ims,0,,A
